Date,Team_A,Score_A,Score_B,Team_B,Winner
07-05-2023,Torino,1,1,Monza,Draw
14-05-2023,Monza,2,0,Napoli,Monza
19-05-2023,Sassuolo,1,2,Monza,Monza
28-05-2023,Monza,0,1,Lecce,Lecce
04-06-2023,Atalanta,5,2,Monza,Atalanta
15-08-2022,Verona,2,5,Napoli,Napoli
21-08-2022,Napoli,4,0,Monza,Napoli
28-08-2022,Fiorentina,0,0,Napoli,Draw
31-08-2022,Napoli,1,1,Lecce,Draw
03-09-2022,Lazio,1,2,Napoli,Napoli
10-09-2022,Napoli,1,0,Spezia,Napoli
18-09-2022,Milan,1,2,Napoli,Napoli
01-10-2022,Napoli,3,1,Torino,Napoli
09-10-2022,Cremonese,1,4,Napoli,Napoli
16-10-2022,Napoli,3,2,Bologna,Napoli
23-10-2022,Roma,0,1,Napoli,Napoli
29-10-2022,Napoli,4,0,Sassuolo,Napoli
05-11-2022,Atalanta,1,2,Napoli,Napoli
08-11-2022,Napoli,2,0,Empoli,Napoli
12-11-2022,Napoli,3,2,Udinese,Napoli
04-01-2023,Inter,1,0,Napoli,Inter
08-01-2023,Sampdoria,0,2,Napoli,Napoli
13-01-2023,Napoli,5,1,Juventus,Napoli
21-01-2023,Salernitana,0,2,Napoli,Napoli
29-01-2023,Napoli,2,1,Roma,Napoli
05-02-2023,Spezia,0,3,Napoli,Napoli
12-02-2023,Napoli,3,0,Cremonese,Napoli
17-02-2023,Sassuolo,0,2,Napoli,Napoli
25-02-2023,Empoli,0,2,Napoli,Napoli
03-03-2023,Napoli,0,1,Lazio,Lazio
11-03-2023,Napoli,2,0,Atalanta,Napoli
19-03-2023,Torino,0,4,Napoli,Napoli
02-04-2023,Napoli,0,4,Milan,Milan
07-04-2023,Lecce,1,2,Napoli,Napoli
15-04-2023,Napoli,0,0,Verona,Draw
23-04-2023,Juventus,0,1,Napoli,Napoli
30-04-2023,Napoli,1,1,Salernitana,Draw
04-05-2023,Udinese,1,1,Napoli,Draw
07-05-2023,Napoli,1,0,Fiorentina,Napoli
14-05-2023,Monza,2,0,Napoli,Monza
